time	V(n001)	V(n002)	I(R1)
3.738722887140801e-006	3.759296e-003	5.999954e+000	1.199624e-001
3.770809940712229e-006	3.759287e-003	5.999959e+000	1.199624e-001
3.802896994283657e-006	3.759279e-003	5.999963e+000	1.199624e-001
3.834984047855086e-006	3.759272e-003	5.999967e+000	1.199624e-001
3.867071101426514e-006	3.759266e-003	5.999970e+000	1.199624e-001
3.904738512140798e-006	3.759260e-003	5.999974e+000	1.199624e-001
3.942405922855082e-006	3.759254e-003	5.999977e+000	1.199624e-001
3.980073333569366e-006	3.759249e-003	5.999980e+000	1.199624e-001
4.017740744283651e-006	3.759244e-003	5.999983e+000	1.199624e-001
4.055408154997935e-006	3.759240e-003	5.999985e+000	1.199624e-001
4.093075565712219e-006	3.759237e-003	5.999987e+000	1.199624e-001
4.130742976426503e-006	3.759234e-003	5.999988e+000	1.199624e-001
4.180966190712216e-006	3.759231e-003	5.999990e+000	1.199624e-001
4.231189404997928e-006	3.759228e-003	5.999992e+000	1.199624e-001
4.281412619283640e-006	3.759226e-003	5.999993e+000	1.199624e-001
4.331635833569352e-006	3.759223e-003	5.999994e+000	1.199624e-001
4.381859047855064e-006	3.759222e-003	5.999995e+000	1.199624e-001
4.432082262140777e-006	3.759220e-003	5.999996e+000	1.199624e-001
4.482305476426489e-006	3.759219e-003	5.999997e+000	1.199624e-001
4.557690408365562e-006	3.759219e-003	5.999997e+000	1.199624e-001
4.633075340304635e-006	3.759218e-003	5.999998e+000	1.199624e-001
4.708460272243708e-006	3.759217e-003	5.999998e+000	1.199624e-001
4.783845204182781e-006	3.759215e-003	5.999999e+000	1.199624e-001
4.859230136121854e-006	3.759213e-003	5.999999e+000	1.199624e-001
4.934615068060927e-006	3.759210e-003	5.999999e+000	1.199624e-001
5.010000000000000e-006	3.759207e-003	6.000000e+000	1.199624e-001
5.011272026239160e-006	3.496295e-003	5.959417e+000	1.199650e-001
5.015865995111479e-006	2.554443e-003	5.764707e+000	1.199744e-001
5.017527857996503e-006	2.217814e-003	5.670540e+000	1.199778e-001
5.020000000000000e-006	1.709386e-003	5.518186e+000	1.199829e-001
5.022641826057255e-006	1.790373e-003	5.412311e+000	1.199821e-001
5.025283652114510e-006	1.897067e-003	5.307430e+000	1.199810e-001
5.027925478171765e-006	2.029468e-003	5.203545e+000	1.199797e-001
5.030567304229020e-006	2.187576e-003	5.100656e+000	1.199781e-001
5.033209130286275e-006	2.371391e-003	4.998761e+000	1.199763e-001
5.035850956343529e-006	2.580913e-003	4.897862e+000	1.199742e-001
5.038492782400784e-006	2.816141e-003	4.797959e+000	1.199718e-001
5.045723409467766e-006	3.765928e-003	4.527902e+000	1.199623e-001
5.051570641191740e-006	5.134256e-003	4.314612e+000	1.199487e-001
5.055822909606968e-006	6.958254e-003	4.162763e+000	1.199304e-001
5.059132940453324e-006	9.547832e-003	4.046885e+000	1.199045e-001
5.061797611383946e-006	1.330948e-002	3.955581e+000	1.198669e-001
5.064103319468459e-006	1.910372e-002	3.878741e+000	1.198090e-001
5.066125759444407e-006	2.800719e-002	3.814045e+000	1.197199e-001
5.067845523316649e-006	4.140022e-002	3.762738e+000	1.195860e-001
5.069403255522369e-006	6.198934e-002	3.721398e+000	1.193801e-001
5.071055156751205e-006	9.400028e-002	3.683646e+000	1.190600e-001
5.073007060374753e-006	1.411082e-001	3.644631e+000	1.185889e-001
5.075282509498321e-006	2.026739e-001	3.603290e+000	1.179733e-001
5.078241125243857e-006	2.878693e-001	3.553013e+000	1.171213e-001
5.083020164026777e-006	4.302201e-001	3.475682e+000	1.156978e-001
5.090701121600244e-006	6.626257e-001	3.355944e+000	1.133737e-001
5.100466746600243e-006	9.592091e-001	3.207922e+000	1.104079e-001
5.129763621600242e-006	1.845704e+000	2.771348e+000	1.015430e-001
5.139529246600242e-006	2.154833e+000	2.618065e+000	9.845167e-002
5.149294871600241e-006	2.502208e+000	2.448629e+000	9.497792e-002
5.159060496600241e-006	2.936810e+000	2.246531e+000	9.063190e-002
5.168826121600240e-006	3.511923e+000	1.994946e+000	8.488077e-002
5.178591746600240e-006	4.238268e+000	1.690745e+000	7.761732e-002
5.188357371600240e-006	5.068945e+000	1.346777e+000	6.931055e-002
5.198122996600239e-006	5.934021e+000	9.804047e-001	6.065979e-002
5.207888621600239e-006	6.774315e+000	6.051532e-001	5.225686e-002
5.217654246600238e-006	7.551136e+000	2.299636e-001	4.448864e-002
5.227419871600238e-006	8.244117e+000	-1.393308e-001	3.755883e-002
5.237185496600238e-006	8.846344e+000	-4.988240e-001	3.153656e-002
5.246951121600237e-006	9.359696e+000	-8.458549e-001	2.640304e-002
5.256716746600237e-006	9.791143e+000	-1.178629e+000	2.208856e-002
5.266482371600236e-006	1.015010e+001	-1.495997e+000	1.849903e-002
5.276247996600236e-006	1.044668e+001	-1.797302e+000	1.553323e-002
5.286013621600236e-006	1.069067e+001	-2.082276e+000	1.309333e-002
5.295779246600235e-006	1.089097e+001	-2.350948e+000	1.109031e-002
5.305544871600235e-006	1.105536e+001	-2.603576e+000	9.446407e-003
5.315310496600234e-006	1.119045e+001	-2.840587e+000	8.095453e-003
5.325076121600234e-006	1.130177e+001	-3.062529e+000	6.982269e-003
5.334841746600234e-006	1.139385e+001	-3.270033e+000	6.061470e-003
5.344607371600233e-006	1.147039e+001	-3.463784e+000	5.296112e-003
5.354372996600233e-006	1.153436e+001	-3.644492e+000	4.656349e-003
5.364138621600232e-006	1.158818e+001	-3.812881e+000	4.118197e-003
5.373904246600232e-006	1.163375e+001	-3.969668e+000	3.662449e-003
5.383669871600232e-006	1.167262e+001	-4.115559e+000	3.273762e-003
5.393435496600231e-006	1.170601e+001	-4.251235e+000	2.939887e-003
5.403201121600231e-006	1.173489e+001	-4.377355e+000	2.651048e-003
5.412966746600230e-006	1.176006e+001	-4.494547e+000	2.399429e-003
5.422732371600230e-006	1.178212e+001	-4.603407e+000	2.178774e-003
5.432497996600230e-006	1.180159e+001	-4.704500e+000	1.984058e-003
5.442263621600229e-006	1.181888e+001	-4.798358e+000	1.811230e-003
5.452029246600229e-006	1.183430e+001	-4.885483e+000	1.657011e-003
5.461794871600228e-006	1.184813e+001	-4.966343e+000	1.518733e-003
5.471560496600228e-006	1.186058e+001	-5.041379e+000	1.394212e-003
5.481326121600228e-006	1.187183e+001	-5.111002e+000	1.281648e-003
5.491091746600227e-006	1.188204e+001	-5.175595e+000	1.179549e-003
5.500857371600227e-006	1.189133e+001	-5.235518e+000	1.086668e-003
5.510622996600226e-006	1.189981e+001	-5.291102e+000	1.001953e-003
5.520388621600226e-006	1.190755e+001	-5.342660e+000	9.245165e-004
5.530154246600226e-006	1.191464e+001	-5.390480e+000	8.535949e-004
5.539919871600225e-006	1.192115e+001	-5.434830e+000	7.885327e-004
5.549685496600225e-006	1.192712e+001	-5.475961e+000	7.287609e-004
5.559451121600224e-006	1.193262e+001	-5.514106e+000	6.737822e-004
5.569216746600224e-006	1.193768e+001	-5.549479e+000	6.231594e-004
5.578982371600224e-006	1.194235e+001	-5.582282e+000	5.765056e-004
5.588747996600223e-006	1.194665e+001	-5.612700e+000	5.334765e-004
5.598513621600223e-006	1.195062e+001	-5.640906e+000	4.937645e-004
5.608279246600222e-006	1.195429e+001	-5.667060e+000	4.570932e-004
5.618044871600222e-006	1.195768e+001	-5.691312e+000	4.232134e-004
5.627810496600222e-006	1.196081e+001	-5.713799e+000	3.918994e-004
5.637576121600221e-006	1.196371e+001	-5.734649e+000	3.629467e-004
5.647341746600221e-006	1.196638e+001	-5.753982e+000	3.361689e-004
5.657107371600220e-006	1.196886e+001	-5.771907e+000	3.113958e-004
5.666872996600220e-006	1.197115e+001	-5.788527e+000	2.884722e-004
5.676638621600220e-006	1.197327e+001	-5.803936e+000	2.672556e-004
5.686404246600219e-006	1.197524e+001	-5.818224e+000	2.476155e-004
5.696169871600219e-006	1.197706e+001	-5.831471e+000	2.294319e-004
5.705935496600218e-006	1.197874e+001	-5.843753e+000	2.125944e-004
5.715701121600218e-006	1.198030e+001	-5.855140e+000	1.970017e-004
5.725466746600218e-006	1.198174e+001	-5.865698e+000	1.825601e-004
5.735232371600217e-006	1.198308e+001	-5.875486e+000	1.691834e-004
5.744997996600217e-006	1.198432e+001	-5.884562e+000	1.567921e-004
5.754763621600216e-006	1.198547e+001	-5.892976e+000	1.453127e-004
5.764529246600216e-006	1.198653e+001	-5.900777e+000	1.346774e-004
5.774294871600216e-006	1.198752e+001	-5.908010e+000	1.248235e-004
5.784060496600215e-006	1.198843e+001	-5.914715e+000	1.156932e-004
5.793826121600215e-006	1.198928e+001	-5.920932e+000	1.072330e-004
5.803591746600215e-006	1.199006e+001	-5.926695e+000	9.939324e-005
5.813357371600214e-006	1.199079e+001	-5.932039e+000	9.212822e-005
5.823122996600214e-006	1.199146e+001	-5.936993e+000	8.539554e-005
5.832888621600213e-006	1.199208e+001	-5.941586e+000	7.915601e-005
5.842654246600213e-006	1.199266e+001	-5.945845e+000	7.337333e-005
5.852419871600213e-006	1.199320e+001	-5.949793e+000	6.801391e-005
5.862185496600212e-006	1.199370e+001	-5.953453e+000	6.304665e-005
5.871951121600212e-006	1.199416e+001	-5.956846e+000	5.844275e-005
5.881716746600211e-006	1.199458e+001	-5.959992e+000	5.417555e-005
5.891482371600211e-006	1.199498e+001	-5.962909e+000	5.022035e-005
5.901247996600211e-006	1.199534e+001	-5.965613e+000	4.655427e-005
5.911013621600210e-006	1.199568e+001	-5.968120e+000	4.315612e-005
5.920779246600210e-006	1.199600e+001	-5.970444e+000	4.000629e-005
5.930544871600209e-006	1.199629e+001	-5.972599e+000	3.708658e-005
5.940310496600209e-006	1.199656e+001	-5.974597e+000	3.438015e-005
5.950076121600209e-006	1.199681e+001	-5.976449e+000	3.187139e-005
5.959841746600208e-006	1.199705e+001	-5.978166e+000	2.954584e-005
5.969607371600208e-006	1.199726e+001	-5.979757e+000	2.739010e-005
5.979372996600207e-006	1.199746e+001	-5.981234e+000	2.539176e-005
5.989138621600207e-006	1.199765e+001	-5.982602e+000	2.353930e-005
5.998904246600207e-006	1.199782e+001	-5.983870e+000	2.182207e-005
6.008669871600206e-006	1.199798e+001	-5.985046e+000	2.023018e-005
6.018435496600206e-006	1.199813e+001	-5.986136e+000	1.875447e-005
6.028201121600205e-006	1.199826e+001	-5.987147e+000	1.738646e-005
6.037966746600205e-006	1.199839e+001	-5.988084e+000	1.611827e-005
6.047732371600205e-006	1.199851e+001	-5.988953e+000	1.494263e-005
6.057497996600204e-006	1.199862e+001	-5.989758e+000	1.385277e-005
6.067263621600204e-006	1.199872e+001	-5.990505e+000	1.284242e-005
6.077029246600203e-006	1.199881e+001	-5.991198e+000	1.190579e-005
6.086794871600203e-006	1.199890e+001	-5.991839e+000	1.103748e-005
6.096560496600203e-006	1.199898e+001	-5.992434e+000	1.023252e-005
6.106326121600202e-006	1.199905e+001	-5.992986e+000	9.486284e-006
6.116091746600202e-006	1.199912e+001	-5.993497e+000	8.794479e-006
6.125857371600201e-006	1.199918e+001	-5.993971e+000	8.153135e-006
6.135622996600201e-006	1.199924e+001	-5.994411e+000	7.558572e-006
6.145388621600201e-006	1.199930e+001	-5.994818e+000	7.007375e-006
6.155154246600200e-006	1.199935e+001	-5.995196e+000	6.496379e-006
6.164919871600200e-006	1.199940e+001	-5.995546e+000	6.022653e-006
6.174685496600199e-006	1.199944e+001	-5.995871e+000	5.583477e-006
6.184451121600199e-006	1.199948e+001	-5.996172e+000	5.176330e-006
6.194216746600199e-006	1.199952e+001	-5.996451e+000	4.798876e-006
6.203982371600198e-006	1.199955e+001	-5.996710e+000	4.448949e-006
6.213747996600198e-006	1.199959e+001	-5.996950e+000	4.124541e-006
6.223513621600197e-006	1.199962e+001	-5.997172e+000	3.823791e-006
6.233279246600197e-006	1.199965e+001	-5.997378e+000	3.544973e-006
6.243044871600197e-006	1.199967e+001	-5.997570e+000	3.286487e-006
6.252810496600196e-006	1.199969e+001	-5.997746e+000	3.046850e-006
6.262576121600196e-006	1.199972e+001	-5.997911e+000	2.824688e-006
6.272341746600195e-006	1.199974e+001	-5.998063e+000	2.618727e-006
6.282107371600195e-006	1.199976e+001	-5.998204e+000	2.427784e-006
6.291872996600195e-006	1.199977e+001	-5.998335e+000	2.250765e-006
6.301638621600194e-006	1.199979e+001	-5.998457e+000	2.086653e-006
6.311404246600194e-006	1.199981e+001	-5.998569e+000	1.934508e-006
6.321169871600193e-006	1.199982e+001	-5.998673e+000	1.793457e-006
6.330935496600193e-006	1.199983e+001	-5.998770e+000	1.662692e-006
6.340701121600193e-006	1.199985e+001	-5.998860e+000	1.541461e-006
6.350466746600192e-006	1.199986e+001	-5.998943e+000	1.429070e-006
6.360232371600192e-006	1.199987e+001	-5.999020e+000	1.324874e-006
6.369997996600191e-006	1.199988e+001	-5.999092e+000	1.228275e-006
6.379763621600191e-006	1.199989e+001	-5.999158e+000	1.138720e-006
6.389529246600191e-006	1.199989e+001	-5.999219e+000	1.055695e-006
6.399294871600190e-006	1.199990e+001	-5.999276e+000	9.787238e-007
6.409060496600190e-006	1.199991e+001	-5.999329e+000	9.073648e-007
6.418826121600189e-006	1.199992e+001	-5.999378e+000	8.412087e-007
6.428591746600189e-006	1.199992e+001	-5.999423e+000	7.798764e-007
6.438357371600189e-006	1.199993e+001	-5.999465e+000	7.230160e-007
6.448122996600188e-006	1.199993e+001	-5.999504e+000	6.703015e-007
6.457888621600188e-006	1.199994e+001	-5.999540e+000	6.214304e-007
6.467654246600187e-006	1.199994e+001	-5.999574e+000	5.761228e-007
6.477419871600187e-006	1.199995e+001	-5.999605e+000	5.341186e-007
6.487185496600187e-006	1.199995e+001	-5.999634e+000	4.951771e-007
