time	V(n002)	V(n003)	I(Rload)
2.556800008907201e-007	2.731230e-004	6.649011e+000	1.199973e-002
2.654456258907202e-007	2.768097e-004	6.643811e+000	1.199972e-002
2.752112508907202e-007	2.798433e-004	6.639227e+000	1.199972e-002
2.849768758907202e-007	2.823650e-004	6.635148e+000	1.199972e-002
2.947425008907202e-007	2.844826e-004	6.631489e+000	1.199972e-002
3.045081258907203e-007	2.862788e-004	6.628181e+000	1.199971e-002
3.142737508907203e-007	2.878168e-004	6.625171e+000	1.199971e-002
3.240393758907203e-007	2.891460e-004	6.622413e+000	1.199971e-002
3.338050008907203e-007	2.903044e-004	6.619873e+000	1.199971e-002
3.435706258907204e-007	2.913221e-004	6.617522e+000	1.199971e-002
3.533362508907204e-007	2.922230e-004	6.615336e+000	1.199971e-002
3.631018758907204e-007	2.930258e-004	6.613295e+000	1.199971e-002
3.728675008907204e-007	2.937459e-004	6.611382e+000	1.199971e-002
3.826331258907205e-007	2.943955e-004	6.609582e+000	1.199971e-002
3.923987508907205e-007	2.949848e-004	6.607885e+000	1.199970e-002
4.021643758907205e-007	2.955221e-004	6.606279e+000	1.199970e-002
4.119300008907205e-007	2.960140e-004	6.604756e+000	1.199970e-002
4.314612508907206e-007	2.968843e-004	6.601929e+000	1.199970e-002
4.509925008907206e-007	2.976316e-004	6.599352e+000	1.199970e-002
4.705237508907207e-007	2.982815e-004	6.596986e+000	1.199970e-002
4.900550008907207e-007	2.988534e-004	6.594801e+000	1.199970e-002
5.095862508907207e-007	2.993614e-004	6.592772e+000	1.199970e-002
5.388831258907208e-007	3.000272e-004	6.589976e+000	1.199970e-002
5.681800008907209e-007	3.006013e-004	6.587433e+000	1.199970e-002
5.974768758907210e-007	3.011032e-004	6.585102e+000	1.199970e-002
6.267737508907210e-007	3.015472e-004	6.582951e+000	1.199970e-002
6.504902687478639e-007	3.018648e-004	6.581342e+000	1.199970e-002
6.742067866050069e-007	3.021631e-004	6.579804e+000	1.199970e-002
6.979233044621498e-007	3.024423e-004	6.578336e+000	1.199970e-002
7.216398223192927e-007	3.027023e-004	6.576939e+000	1.199970e-002
7.453563401764357e-007	3.029430e-004	6.575612e+000	1.199970e-002
7.690728580335786e-007	3.031645e-004	6.574356e+000	1.199970e-002
7.927893758907215e-007	3.033668e-004	6.573171e+000	1.199970e-002
8.262715187478644e-007	3.036345e-004	6.571578e+000	1.199970e-002
8.597536616050074e-007	3.038868e-004	6.570055e+000	1.199970e-002
8.932358044621503e-007	3.041236e-004	6.568601e+000	1.199970e-002
9.267179473192933e-007	3.043450e-004	6.567218e+000	1.199970e-002
9.602000901764362e-007	3.045510e-004	6.565905e+000	1.199970e-002
9.936822330335791e-007	3.047415e-004	6.564662e+000	1.199969e-002
1.027164375890722e-006	3.049166e-004	6.563488e+000	1.199969e-002
1.075992500890722e-006	3.051562e-004	6.561862e+000	1.199969e-002
1.124820625890722e-006	3.053824e-004	6.560309e+000	1.199969e-002
1.173648750890722e-006	3.055951e-004	6.558828e+000	1.199969e-002
1.222476875890723e-006	3.057945e-004	6.557421e+000	1.199969e-002
1.271305000890723e-006	3.059805e-004	6.556086e+000	1.199969e-002
1.320133125890723e-006	3.061530e-004	6.554825e+000	1.199969e-002
1.368961250890723e-006	3.063121e-004	6.553637e+000	1.199969e-002
1.438715715176437e-006	3.065263e-004	6.552022e+000	1.199969e-002
1.508470179462152e-006	3.067290e-004	6.550480e+000	1.199969e-002
1.578224643747866e-006	3.069204e-004	6.549011e+000	1.199969e-002
1.647979108033581e-006	3.071003e-004	6.547614e+000	1.199969e-002
1.717733572319295e-006	3.072689e-004	6.546289e+000	1.199969e-002
1.787488036605010e-006	3.074260e-004	6.545036e+000	1.199969e-002
1.857242500890724e-006	3.075717e-004	6.543856e+000	1.199969e-002
1.957688929462153e-006	3.077699e-004	6.542240e+000	1.199969e-002
2.058135358033582e-006	3.079579e-004	6.540697e+000	1.199969e-002
2.158581786605011e-006	3.081357e-004	6.539227e+000	1.199969e-002
